DMS_id,filename,registered,tier,family_id,structure_cluster_id,exclusion_reason,n_rows,n_unique_keys,n_dup_keys,poi,pdb_file,pdb_exists,side0_chains,side1_chains,scale_type,transform_applied,sign_convention,has_wt_row,wt_row_index,wt_value,wt_percentile,rho_depth_score,max_mut,mut_count_hist,n_positions,aa_per_pos_median,y_min,y_max,y_sd,y_mad,n_distinct_values,modal_decimals,quantum,floor_value,floor_frac,ceil_value,ceil_frac,modal_value_frac,n_nested,n_samesite,n_nested_wt_anchored,n_nested_censor_touching,n_primary_Pa,pairs_per_variant,wt_degree,max_degree,n_edges_ge3_siblings,mean_obs_per_pairwise_col,pairwise_feasible,design_iface_frac,bg_iface_frac,iface_bias_factor,eligible_C1,eligible_C2,eligible_C3L,eligible_C4S,eligible_C4P,eligible_C4I,eligible_cluster_channel,underpowered_G8
CXCR4_CXCL12_enrich_8U4O,CXCR4_CXCL12_enrich_8U4O.csv,True,EXCLUDED,,CXCR4_CXCL12_enrich_8U4O,max_mut = 1; SI 0.883,5585,5585,0,8U4O_hm,8U4O_hm.pdb,True,R,J,enrich,none,higher_is_better,True,0,0,65.9087,-0.007379,1,0:1;1:5584,295,19.0,-5.0,3.3892481885,1.4300251026055442,1.1907357250130999,5503,10,1e-10,-5,0.01414503133393017,,,0.01414503133393017,5584,50072,5584,79,0,9.9653,5584,5584,0,,False,,,,False,False,False,False,False,False,False,
GB1_IgG-Fc_fitness_1FCC,GB1_IgG-Fc_fitness_1FCC.csv,True,PRIMARY,F1,GB1_IgG-Fc_fitness_1FCC_2016,,92891,92891,0,1FCC_hm,1FCC_hm.pdb,True,C,A,fitness,none,higher_is_better,True,0,0.330120499,65.0332,-0.013971,2,0:1;1:1045;2:91845,55,19.0,-2.302092096664971,1.1466838948141147,1.0079341273558995,1.0795122974892206,82124,16,1e-16,,,,,0.00032295916719596085,184735,861874,1045,0,183690,11.2671,1045,1045,0,1.0,False,,,,True,True,True,True,True,False,False,
GB1_IgG-Fc_fitness_1FCC_2016,GB1_IgG-Fc_fitness_1FCC_2016.csv,True,PRIMARY,F1,GB1_IgG-Fc_fitness_1FCC_2016,,22176,22176,0,1FCC2016_hm,1FCC2016_hm.pdb,True,C,A,fitness,none,higher_is_better,True,0,0.84326488,86.7469,-0.265631,4,0:1;1:26;2:512;3:4857;4:16780,4,18.5,-1.9855204634947032,1.7302823902626083,1.018387879644905,0.4274089906816045,19901,16,1e-16,,,,,0.0005862193362193362,52175,376089,26,0,52149,19.312,26,55,10743,65.8867,True,,,,True,True,True,False,False,False,True,
HLA-A2_TAPBPR_meanscore_5WER,HLA-A2_TAPBPR_meanscore_5WER.csv,True,EXCLUDED,,HLA-A2_TAPBPR_meanscore_5WER,max_mut = 1; 0 nested edges (no WT row); duplicated DMS_score column,3344,3344,0,5WER_hm,5WER_hm.pdb,True,A,C,meanscore,none,higher_is_better,False,,,,,1,1:3344,180,19.0,-4.515000000000001,4.397626705,1.0689064492987221,0.95800339244295,3344,10,1e-10,,,,,0.0002990430622009569,0,29558,0,0,0,8.8391,0,0,0,,False,,,,False,False,False,False,False,False,False,
KRAS_DARPinK27_norfitness_5O2S,KRAS_DARPinK27_norfitness_5O2S.csv,True,EXCLUDED,,KRAS_RAF1_norfitness_6VJJ,"DUPLICATE SCORE TABLE: 19,227 shared keys, byte-identical scores with KRAS_SOS1_norfitness_8BE4 (G2)",19533,19533,0,5O2S_hm,5O2S_hm.pdb,True,A,B,norfitness,none,higher_is_better,True,0,-0.0199530896,89.1312,-0.234686,2,0:1;1:2507;2:17025,163,19.0,-1.97141663017483,0.866621344021052,0.4575384327970595,0.5897846201792536,19519,15,1e-15,,,,,0.00020478165156401988,36104,141923,2507,0,33597,9.1142,2507,2507,0,1.0,False,,,,False,False,False,False,False,True,False,
KRAS_PICK3CG-RBD_norfitness_1HE8,KRAS_PICK3CG-RBD_norfitness_1HE8.csv,True,PRIMARY,F2,KRAS_RAF1_norfitness_6VJJ,,19203,19203,0,1HE8_hm,1HE8_hm.pdb,True,B,A,norfitness,none,higher_is_better,True,0,-0.004941400913,87.2364,-0.217022,2,0:1;1:2639;2:16563,164,19.0,-1.74691076598496,0.626598714344478,0.49948237785186905,0.6865678347317723,19179,15,1e-15,,,,,0.0002603759829193355,35395,138666,2639,0,32756,9.0643,2639,2639,0,1.0,False,,,,True,True,True,True,True,True,False,
KRAS_RAF1-RBD_norfitness_6VJJ,KRAS_RAF1-RBD_norfitness_6VJJ.csv,True,PRIMARY,F2,KRAS_RAF1_norfitness_6VJJ,,23162,23162,0,6VJJ,6VJJ.pdb,True,A,B,norfitness,none,higher_is_better,True,0,-0.008840602502,89.962,-0.259927,2,0:1;1:2825;2:20336,166,19.0,-1.45034831532026,0.257920589356662,0.39239994550953,0.46530115583309795,22910,15,1e-15,,,,,0.00043174164579915376,43202,186468,2825,0,40377,9.9158,2825,2825,0,1.0,False,,,,True,True,True,True,True,True,False,
KRAS_RAF1_norfitness_6VJJ,KRAS_RAF1_norfitness_6VJJ.csv,True,PRIMARY,F2,KRAS_RAF1_norfitness_6VJJ,,12677,12677,0,6VJJ,6VJJ.pdb,True,A,B,norfitness,none,higher_is_better,True,0,-0.008705745075,92.9952,-0.249901,2,0:1;1:1188;2:11488,63,19.0,-1.85928513061533,0.581493770952215,0.5076822174189085,0.4442329460892743,12606,14,1e-14,,,,,0.0006310641318924035,24138,102938,1188,0,22950,10.0241,1188,1188,0,1.0,False,,,,True,True,True,False,True,True,False,
KRAS_RALGDS-RBD_norfitness_1LFD,KRAS_RALGDS-RBD_norfitness_1LFD.csv,True,PRIMARY,F2,KRAS_RAF1_norfitness_6VJJ,,20341,20341,0,1LFD_hm,1LFD_hm.pdb,True,B,A,norfitness,none,higher_is_better,True,0,-0.0004232712327,89.9562,-0.238438,2,0:1;1:2544;2:17796,164,19.0,-1.60325450300409,0.281725037576003,0.4541404594791299,0.5858272368950078,20132,15,1e-15,,,,,0.00039329433164544513,37730,157970,2544,0,35186,9.621,2544,2544,0,1.0,False,,,,True,True,True,True,True,True,False,
KRAS_SOS1_norfitness_8BE4,KRAS_SOS1_norfitness_8BE4.csv,True,PRIMARY,F2,KRAS_RAF1_norfitness_6VJJ,,19425,19425,0,8BE4_hm,8BE4_hm.pdb,True,R,S,norfitness,none,higher_is_better,True,0,-0.0199530896,89.1634,-0.237805,2,0:1;1:2503;2:16921,163,19.0,-1.97141663017483,0.866621344021052,0.4574716751047897,0.5891702427116237,19411,15,1e-15,,,,,0.00020592020592020592,35915,141654,2503,0,33412,9.1413,2503,2503,0,1.0,False,,,,True,True,True,True,True,True,False,
PSD95_CRIPT_1BE9,PSD95_CRIPT_1BE9.csv,True,EXCLUDED,,PSD95_Tm2F_1BE9,max_mut = 1,1577,1577,0,1BE9_hm,1BE9_hm.pdb,True,A,B,fitness,none,higher_is_better,True,12,0.069078,79.201,-0.025508,1,0:1;1:1576,83,19.0,-1.8809,0.33424,0.4059749881467149,0.14980338659999998,1566,5,1e-05,,,,,0.0057070386810399495,1576,14175,1576,0,0,9.988,1576,1576,0,,False,,,,False,False,False,False,False,True,False,
PSD95_Tm2F_1BE9,PSD95_Tm2F_1BE9.csv,True,EXCLUDED,,PSD95_Tm2F_1BE9,max_mut = 1,1577,1577,0,1BE9Tm2F_hm,1BE9Tm2F_hm.pdb,True,A,B,fitness,none,higher_is_better,True,12,-0.062044,54.851,-0.004261,1,0:1;1:1576,83,19.0,-1.301,0.88297,0.3950029438371734,0.3147856319999998,1571,5,1e-05,,,,,0.0012682308180088776,1576,14175,1576,0,0,9.988,1576,1576,0,,False,,,,False,False,False,False,False,True,False,
SARS2-RBD_ACE2_deltaKd_6M0J,SARS2-RBD_ACE2_deltaKd_6M0J.csv,True,PRIMARY,F3,SARS2-RBD_ACE2_deltaKd_6M0J,,21872,21872,0,6M0J,6M0J.pdb,True,E,A,deltaKd,none,higher_is_better,True,0,-0.007394703411,97.0602,-0.514511,10,0:1;1:3134;2:8467;3:5611;4:2840;5:1231;6:421;7:125;8:36;9:5;10:1,194,19.0,-4.84,0.37,1.8600089352667837,1.7198159999999998,2806,2,0.01,-4.84|-4.76,0.23847841989758595,,,0.14534564740307243,19459,25547,3134,1789,14548,2.0577,3134,3134,0,1.0143,False,,,,True,True,True,True,True,False,False,
Z-domain_ZSPA-1_LL1_fitness_1LP1,Z-domain_ZSPA-1_LL1_fitness_1LP1.csv,True,CONTROL,,Z-domain_ZSPA-1_LL2_fitness_1LP1,"SI 1.398, sd 0.140 / max 3.631 / skew +10.55, no WT row, selection-derived membership",45476,45476,0,1LP1,1LP1.pdb,True,A,B,fitness,none,higher_is_better,False,,,,-0.104465,9,1:3;2:37;3:282;4:1383;5:4630;6:10787;7:15630;8:10838;9:1886,9,8.0,-1.2406119898568022,3.6307041796560133,0.14004239165415022,0.04028641919042849,3333,16,1e-16,,,,,0.09763391679127452,67329,109502,0,0,67329,3.8884,0,26,31812,642.52,True,,,,False,False,False,False,False,False,False,
Z-domain_ZSPA-1_LL2_fitness_1LP1,Z-domain_ZSPA-1_LL2_fitness_1LP1.csv,True,CONTROL,,Z-domain_ZSPA-1_LL2_fitness_1LP1,SI 1.001 -- neighbours as different as random pairs,5583,5583,0,1LP1,1LP1.pdb,True,A,B,fitness,none,higher_is_better,False,,,,-0.031631,8,1:3;2:29;3:193;4:557;5:974;6:1666;7:2011;8:150,8,10.0,-1.3752900299017599,3.593261409488376,0.3505899932224665,0.07103873846483653,2038,16,1e-16,,,,,0.045495253447967045,8550,22068,0,0,8550,5.4841,0,28,3121,35.5667,True,,,,False,False,False,False,False,False,False,
Z-domain_ZpA963_HL1_fitness_2M5A,Z-domain_ZpA963_HL1_fitness_2M5A.csv,True,PRIMARY,F5,Z-domain_ZSPA-1_LL2_fitness_1LP1,,2904,2904,0,2M5A,2M5A.pdb,True,A,B,fitness,none,higher_is_better,True,2,3.197107764,99.9656,-0.673387,6,0:1;1:24;2:169;3:461;4:800;5:960;6:489,6,4.0,-1.5926432608775896,3.1971077637362257,0.6184769651758014,0.31232017201838863,2788,16,1e-16,,,,,0.0013774104683195593,9736,10678,24,0,9712,7.0296,24,24,8392,98.2574,True,,,,True,True,True,False,False,False,True,
Z-domain_ZpA963_HL2_fitness_2M5A,Z-domain_ZpA963_HL2_fitness_2M5A.csv,True,EXCLUDED,,Z-domain_ZSPA-1_LL2_fitness_1LP1,"n = 600, 0.06% of a 10^6 space, SI 0.893",600,600,0,2M5A,2M5A.pdb,True,A,B,fitness,none,higher_is_better,True,1,3.849337662,99.8333,-0.536602,6,0:1;1:59;2:205;3:230;4:88;5:14;6:3,6,10.0,-1.230160571647307,3.849337661921155,0.7725894009815687,0.787004758656468,598,16,1e-16,,,,,0.0033333333333333335,1263,1837,59,0,1204,5.1667,59,59,424,4.2316,False,,,,False,False,False,False,False,False,False,
hYAP65_peptide_FunctioncalScore_1JMQ,hYAP65_peptide_FunctioncalScore_1JMQ.csv,True,PRIMARY,F6,hYAP65_peptide_FunctioncalScore_1JMQ,,18407,18407,0,1JMQ_hm,1JMQ_hm.pdb,True,A,P,FunctioncalScore,log10,higher_is_better,True,0,1,35.3778,0.495339,21,0:1;1:288;2:7027;3:9324;4:1390;5:265;6:46;7:11;8:5;9:4;10:4;11:6;12:5;13:8;14:4;15:4;16:3;17:3;18:1;19:2;20:4;21:2,34,14.0,0.0091056856105361,15.55885618826971,1.153881563643185,1.0158857517289548,12624,16,1e-16,,,,,0.028847720975715762,29695,23664,288,0,29407,2.8988,288,288,3803,3.1052,False,,,,True,True,True,False,False,False,True,
