DMS_id,sigma_y,sigma_eps,provenance,source_partner,n_source,r_source,slope_source,resid_sd_source,sigma_over_mad,caveat,upstream_SE_obtained,verdict_stamp
CR9114_FluAH3_logKd_4FQY,0.12286,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.1229. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
CXCR4_CXCL12_enrich_8U4O,,,internal_residual,CXCR4_CXCL12_enrich_8U4O,5585,,,,,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). saturated additive design (n=5585, M=5584): e == 0 by construction, no internal residual scale exists",False,conditional
CXCR4_CXCL12_enrich_8U4O,0.234882,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.2349. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
GB1_IgG-Fc_fitness_1FCC,0.128109,,cross_study_contaminated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,0.978913,1.0156,0.182592,0.118673,"NOT a replicate. chain-C pos 2 WT differs (Q vs T) => two backgrounds, not two measurements; verified here: wildtype_sequence differs at C2 Q->T.",False,conditional
GB1_IgG-Fc_fitness_1FCC,0.215902,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.2159. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
GB1_IgG-Fc_fitness_1FCC_2016,0.128109,,cross_study_contaminated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,0.978913,1.0156,0.182592,0.299735,"NOT a replicate. chain-C pos 2 WT differs (Q vs T) => two backgrounds, not two measurements; verified here: wildtype_sequence differs at C2 Q->T.",False,conditional
GB1_IgG-Fc_fitness_1FCC_2016,0.0854818,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0855. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
HLA-A2_TAPBPR_meanscore_5WER,,,internal_residual,HLA-A2_TAPBPR_meanscore_5WER,3344,,,,,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). saturated additive design (n=3344, M=3344): e == 0 by construction, no internal residual scale exists",False,conditional
HLA-A2_TAPBPR_meanscore_5WER,0.191601,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.1916. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
KRAS_DARPinK27_norfitness_5O2S,0.147891,0.124313,measured_replicate,KRAS_RAF1_norfitness_6VJJ vs KRAS_RAF1-RBD_norfitness_6VJJ,10868,0.812088,0.64445,0.147891,0.210776,"UPPER BOUND. upper bound; different construct (full RAF1 vs RBD-only) and different library (63 vs 166 positions); affine alignment only valid if the construct effect is affine in eps. sigma_y is the eps-level residual sd (the spec's 0.148); the y-level join over 12086 shared canonical keys gives resid_sd 0.1450 and a deconvolved 0.1187. sigma imported from the RAF1/RAF1-RBD twin, not measured on this file. EXCLUDED: its score table is byte-identical to KRAS_SOS1_8BE4 (G2, 19,227 shared keys, max|delta| = 0 on the raw strings); retained for structure only.",False,conditional
KRAS_DARPinK27_norfitness_5O2S,0.117957,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.1180. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
KRAS_PICK3CG-RBD_norfitness_1HE8,0.147891,0.124313,measured_replicate,KRAS_RAF1_norfitness_6VJJ vs KRAS_RAF1-RBD_norfitness_6VJJ,10868,0.812088,0.64445,0.147891,0.181064,"UPPER BOUND. upper bound; different construct (full RAF1 vs RBD-only) and different library (63 vs 166 positions); affine alignment only valid if the construct effect is affine in eps. sigma_y is the eps-level residual sd (the spec's 0.148); the y-level join over 12086 shared canonical keys gives resid_sd 0.1450 and a deconvolved 0.1187. sigma imported from the RAF1/RAF1-RBD twin, not measured on this file.",False,conditional
KRAS_PICK3CG-RBD_norfitness_1HE8,0.137314,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.1373. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
KRAS_RAF1-RBD_norfitness_6VJJ,0.147891,0.124313,measured_replicate,KRAS_RAF1_norfitness_6VJJ vs KRAS_RAF1-RBD_norfitness_6VJJ,10868,0.812088,0.64445,0.147891,0.267166,UPPER BOUND. upper bound; different construct (full RAF1 vs RBD-only) and different library (63 vs 166 positions); affine alignment only valid if the construct effect is affine in eps. sigma_y is the eps-level residual sd (the spec's 0.148); the y-level join over 12086 shared canonical keys gives resid_sd 0.1450 and a deconvolved 0.1187.,False,conditional
KRAS_RAF1-RBD_norfitness_6VJJ,0.0930602,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0931. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
KRAS_RAF1_norfitness_6VJJ,0.147891,0.124313,measured_replicate,KRAS_RAF1_norfitness_6VJJ vs KRAS_RAF1-RBD_norfitness_6VJJ,10868,0.812088,0.64445,0.147891,0.279836,UPPER BOUND. upper bound; different construct (full RAF1 vs RBD-only) and different library (63 vs 166 positions); affine alignment only valid if the construct effect is affine in eps. sigma_y is the eps-level residual sd (the spec's 0.148); the y-level join over 12086 shared canonical keys gives resid_sd 0.1450 and a deconvolved 0.1187.,False,conditional
KRAS_RAF1_norfitness_6VJJ,0.0888466,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0888. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
KRAS_RALGDS-RBD_norfitness_1LFD,0.147891,0.124313,measured_replicate,KRAS_RAF1_norfitness_6VJJ vs KRAS_RAF1-RBD_norfitness_6VJJ,10868,0.812088,0.64445,0.147891,0.2122,"UPPER BOUND. upper bound; different construct (full RAF1 vs RBD-only) and different library (63 vs 166 positions); affine alignment only valid if the construct effect is affine in eps. sigma_y is the eps-level residual sd (the spec's 0.148); the y-level join over 12086 shared canonical keys gives resid_sd 0.1450 and a deconvolved 0.1187. sigma imported from the RAF1/RAF1-RBD twin, not measured on this file.",False,conditional
KRAS_RALGDS-RBD_norfitness_1LFD,0.117165,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.1172. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
KRAS_SOS1_norfitness_8BE4,0.147891,0.124313,measured_replicate,KRAS_RAF1_norfitness_6VJJ vs KRAS_RAF1-RBD_norfitness_6VJJ,10868,0.812088,0.64445,0.147891,0.210996,"UPPER BOUND. upper bound; different construct (full RAF1 vs RBD-only) and different library (63 vs 166 positions); affine alignment only valid if the construct effect is affine in eps. sigma_y is the eps-level residual sd (the spec's 0.148); the y-level join over 12086 shared canonical keys gives resid_sd 0.1450 and a deconvolved 0.1187. sigma imported from the RAF1/RAF1-RBD twin, not measured on this file.",False,conditional
KRAS_SOS1_norfitness_8BE4,0.117834,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.1178. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
PSD95_CRIPT_1BE9,,,internal_residual,PSD95_CRIPT_1BE9,1577,,,,,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). saturated additive design (n=1577, M=1576): e == 0 by construction, no internal residual scale exists",False,conditional
PSD95_CRIPT_1BE9,0.0299607,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0300. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
PSD95_Tm2F_1BE9,,,internal_residual,PSD95_Tm2F_1BE9,1577,,,,,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). saturated additive design (n=1577, M=1576): e == 0 by construction, no internal residual scale exists",False,conditional
PSD95_Tm2F_1BE9,0.0629571,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0630. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
SARS2-RBD_ACE2_deltaKd_6M0J,0.586442,,internal_residual,SARS2-RBD_ACE2_deltaKd_6M0J,16656,,,,0.446582,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.4251-4.5879 (10.8x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 1.3132 -- sigma lives on the LATENT scale here, y does not",False,conditional
SARS2-RBD_ACE2_deltaKd_6M0J,0.192738,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.1927. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.113743,,internal_residual,Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,,,,0.637347,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.0700-0.1848 (2.6x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 0.1785 -- sigma lives on the LATENT scale here, y does not",False,conditional
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.00805728,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0081. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
Z-domain_ZSPA-1_LL2_fitness_1LP1,0.177073,,internal_residual,Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,,,,0.496272,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.1282-0.5904 (4.6x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 0.3568 -- sigma lives on the LATENT scale here, y does not",False,conditional
Z-domain_ZSPA-1_LL2_fitness_1LP1,0.0142077,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0142. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
Z-domain_ZpA963_HL1_fitness_2M5A,0.214855,,internal_residual,Z-domain_ZpA963_HL1_fitness_2M5A,2904,,,,0.368695,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.1103-0.5923 (5.4x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 0.5827 -- sigma lives on the LATENT scale here, y does not",False,conditional
Z-domain_ZpA963_HL1_fitness_2M5A,0.062464,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0625. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
Z-domain_ZpA963_HL2_fitness_2M5A,0.438364,,internal_residual,Z-domain_ZpA963_HL2_fitness_2M5A,600,,,,0.552001,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.1360-1.0924 (8.0x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 0.7941 -- sigma lives on the LATENT scale here, y does not",False,conditional
Z-domain_ZpA963_HL2_fitness_2M5A,0.157401,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.1574. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
hYAP65_peptide_FunctioncalScore_1JMQ,0.416397,,internal_residual,hYAP65_peptide_FunctioncalScore_1JMQ,18407,,,,0.711705,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.1519-1.0822 (7.1x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 0.5851 -- sigma lives on the LATENT scale here, y does not",False,conditional
hYAP65_peptide_FunctioncalScore_1JMQ,0.0636341,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0636. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
